Date,Open,High,Low,Close,Date
05-May-2015,8338.4,8355.65,8280.6,8324.8,5/5/15
04-May-2015,8230.05,8346,8220.45,8331.95,5/4/15
30-Apr-2015,8224.5,8229.4,8144.75,8181.5,4/30/15
29-Apr-2015,8274.8,8308.2,8219.2,8239.75,4/29/15
28-Apr-2015,8215.55,8308,8185.15,8285.6,4/28/15
27-Apr-2015,8330.55,8334.45,8202.35,8213.8,4/27/15
24-Apr-2015,8405.7,8413.3,8273.35,8305.25,4/24/15
23-Apr-2015,8478.2,8504.95,8361.85,8398.3,4/23/15
22-Apr-2015,8400.4,8449.95,8284.7,8429.7,4/22/15
21-Apr-2015,8416.1,8469.35,8352.7,8377.75,4/21/15
20-Apr-2015,8618.8,8619.95,8422.75,8448.1,4/20/15
17-Apr-2015,8698.05,8699.85,8596.7,8606,4/17/15
16-Apr-2015,8757.05,8760,8645.65,8706.7,4/16/15
15-Apr-2015,8844.75,8844.8,8722.4,8750.2,4/15/15
13-Apr-2015,8801.75,8841.65,8762.1,8834,4/13/15
10-Apr-2015,8774.35,8787.4,8733.6,8780.35,4/10/15
09-Apr-2015,8756.2,8785.5,8682.45,8778.3,4/9/15
08-Apr-2015,8698.95,8730.5,8679.8,8714.4,4/8/15
07-Apr-2015,8684.45,8693.6,8586.85,8660.3,4/7/15
06-Apr-2015,8615.8,8667.55,8573.75,8659.9,4/6/15
01-Apr-2015,8483.7,8603.4,8464.75,8586.25,4/1/15
31-Mar-2015,8527.6,8550.45,8454.15,8491,3/31/15
27-Mar-2015,8396,8413.2,8269.15,8341.4,3/27/15
26-Mar-2015,8474.95,8499.45,8325.35,8342.15,3/26/15
25-Mar-2015,8568.9,8573.75,8516.55,8530.8,3/25/15
24-Mar-2015,8537.05,8627.75,8535.85,8542.95,3/24/15
23-Mar-2015,8591.55,8608.35,8540.55,8550.9,3/23/15
20-Mar-2015,8627.9,8627.9,8553,8570.9,3/20/15
19-Mar-2015,8749.45,8788.2,8614.65,8634.65,3/19/15
18-Mar-2015,8742.9,8747.25,8664,8685.9,3/18/15
17-Mar-2015,8689.1,8742.55,8630.8,8723.3,3/17/15
16-Mar-2015,8656.75,8663.55,8612,8633.15,3/16/15
13-Mar-2015,8844.05,8849.75,8631.75,8647.75,3/13/15
12-Mar-2015,8740.65,8787.2,8732.9,8776,3/12/15
11-Mar-2015,8728.75,8755.6,8682.35,8699.95,3/11/15
10-Mar-2015,8769.75,8778,8677.35,8712.05,3/10/15
09-Mar-2015,8891.15,8891.3,8740.45,8756.75,3/9/15
05-Mar-2015,8929.4,8957.55,8849.35,8937.75,3/5/15
04-Mar-2015,9109.15,9119.2,8893.95,8922.65,3/4/15
03-Mar-2015,8962.85,9008.4,8925.55,8996.25,3/3/15
02-Mar-2015,8953.85,8972.35,8885.45,8956.75,3/2/15
28-Feb-2015,8913.05,8941.1,8751.35,8901.85,2/28/15
27-Feb-2015,8729.5,8856.95,8717.45,8844.6,2/27/15
26-Feb-2015,8779,8786.05,8669.45,8683.85,2/26/15
25-Feb-2015,8801.9,8840.65,8751.4,8767.25,2/25/15
24-Feb-2015,8772.9,8800.5,8726.75,8762.1,2/24/15
